[appr-ai-sal debug-mouse] cell=(21,11) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,9) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,9) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,8) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,8) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,7) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,7) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,6) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,6) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,6) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
[appr-ai-sal debug-mouse] cell=(17,6) pane-tree treeBody=y[4..38] diffBody=y[4..38] railBody=y[4..38] treeRow0=y[5..5] railRow0=y[9..9] ->treeIdx=1
